Seed,Model_type,Model,Domain,PCA,RMSE,MAE
1,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",FALSE,FALSE,18272.15896,11837.76345
2,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 2, 'verbose': 0}",TRUE,TRUE,4655.907499,2875.065893
2,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 6, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 2, 'verbose': 0}",TRUE,TRUE,4755.751547,2462.042082
2,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'adam'}",TRUE,TRUE,13553.18892,6485.289699
2,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",TRUE,TRUE,8604.478168,5437.213389
2,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 2, 'verbose': 0}",TRUE,FALSE,4966.473271,3156.708095
2,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 6, 'min_samples_split': 4, 'n_estimators': 25, 'random_state': 2, 'verbose': 0}",TRUE,FALSE,4477.37317,2679.824072
2,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",TRUE,FALSE,10338.44136,7384.526396
2,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",TRUE,FALSE,15942.32554,11839.99403
2,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 2, 'verbose': 0}",FALSE,TRUE,9375.720081,4156.406985
2,XGB,"{'learning_rate': 0.01, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 3, 'n_estimators': 25, 'random_state': 2, 'verbose': 0}",FALSE,TRUE,9622.422649,4101.316601
2,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (32, 8), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'adam'}",FALSE,TRUE,13981.37772,8918.221574
2,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",FALSE,TRUE,9973.538307,6440.915001
2,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 4, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 2, 'verbose': 0}",FALSE,FALSE,9449.537479,4329.685179
2,XGB,"{'learning_rate': 0.01, 'loss': 'absolute_error', 'max_depth': 2, 'min_samples_split': 0.5, 'n_estimators': 50, 'random_state': 2, 'verbose': 0}",FALSE,FALSE,9508.289325,3885.059521
2,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 16), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'adam'}",FALSE,FALSE,9892.427615,6637.378756
2,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",FALSE,FALSE,15310.20081,11432.13831
3,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 1, 'random_state': 3, 'verbose': 0}",TRUE,TRUE,9765.407656,4480.844346
3,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 3, 'verbose': 0}",TRUE,TRUE,9142.902352,4035.561323
3,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",TRUE,TRUE,9921.390917,5179.602067
3,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",TRUE,TRUE,10517.04774,5703.802378
3,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 3, 'verbose': 0}",TRUE,FALSE,9013.470481,4146.918095
3,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 8, 'min_samples_split': 3, 'n_estimators': 50, 'random_state': 3, 'verbose': 0}",TRUE,FALSE,9420.303708,4490.931258
3,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",TRUE,FALSE,10293.10611,6096.65418
3,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",TRUE,FALSE,14720.5498,10003.30352
