Seed,Model_type,Model,Domain,PCA,RMSE,MAE
2,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 50, 'max_features': 3, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 15, 'random_state': 2, 'verbose': 0}",True,True,14869.448286431823,10910.873690476192
2,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 80, 'random_state': 2, 'verbose': 0}",True,True,13468.81383744821,6342.632612434943
2,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (32, 16), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",True,True,99007.63493407132,36014.02282774122
2,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",True,True,160988.12106926116,56206.07517716357
2,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 2, 'verbose': 0}",True,False,7433.328944724708,4536.72392857143
2,XGB,"{'learning_rate': 0.14, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 2, 'verbose': 0}",True,False,17815.664480562245,7179.8168024444585
2,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'adam'}",True,False,40720.09452409127,29088.18222622209
2,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",True,False,162466.00613425247,64642.82212401288
2,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1, 'random_state': 2, 'verbose': 0}",False,True,14153.370270290621,8404.416071428572
2,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 8, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 2, 'verbose': 0}",False,True,11663.241801708471,6024.963858059725
2,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 16), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",False,True,102833.35954600736,42236.82860405075
2,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",False,True,156656.79790364712,48587.331345398314
2,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 2, 'verbose': 0}",False,False,9882.354393179794,5578.432142857142
2,XGB,"{'learning_rate': 0.13, 'loss': 'squared_error', 'max_depth': 6, 'min_samples_split': 4, 'n_estimators': 25, 'random_state': 2, 'verbose': 0}",False,False,51684.26674501143,18568.245592154744
2,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",False,False,149256.03894546058,53713.02471099591
2,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",False,False,190793.7899030445,62760.082225012535
3,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 2, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 5, 'random_state': 3, 'verbose': 0}",True,True,83162.01986174192,21403.695714285714
3,XGB,"{'learning_rate': 0.14, 'loss': 'absolute_error', 'max_depth': 8, 'min_samples_split': 3, 'n_estimators': 80, 'random_state': 3, 'verbose': 0}",True,True,81398.90656748807,19328.37965935481
3,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",True,True,78475.78484191715,20583.696575640333
3,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,True,80158.84879393919,20780.948124343337
3,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 50, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 10, 'random_state': 3, 'verbose': 0}",True,False,80378.6527342442,19048.60732142857
3,XGB,"{'learning_rate': 0.14, 'loss': 'absolute_error', 'max_depth': 8, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 3, 'verbose': 0}",True,False,79881.67693800542,18860.745883037504
3,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 8), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",True,False,81110.8322809249,23436.5355972575
3,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,False,73135.96937457744,21618.58454039608
3,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 50, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 3, 'verbose': 0}",False,True,80380.68805197273,20021.619821428576
