tools,pearson coefficient,pearson p-value,kendall coefficient,kendall p-value,spearman coefficient,spearman p-value,ks2 distance,ks2 p-value,t_test distance,t_test p-value
SonarQube vs Codiga,0.19725817220940647,0.03978831834883797,0.4371761123583426,1.6111445451550733e-11,0.5616035622375424,2.1108822006821138e-10,0.44036697247706424,7.003146055137636e-10,4.325544491825122,2.3248805146685487e-05
SonarQube vs CodeClimate,0.1066053476979371,0.26989323370019613,0.4091063540604825,2.873822587971838e-10,0.5362338986192197,1.8619543909417223e-09,0.27522935779816515,0.00048468572223467126,-1.8703087071615254,0.06279358096871292
CodeClimate vs Codiga,0.932679369558844,3.3992598625241803e-49,0.7504884913668088,6.118974970765523e-31,0.8972636856285909,8.697983488292328e-40,0.6146788990825688,1.4995090105333077e-19,2.610510021577265,0.009673811667039962
